"","Comp.1","Comp.2","diff_"
"carries.PrgC",2.94748063690158,1.0336339310893,1.91384670581228
"take.ons.Succ.",-0.375346606435863,-2.24497622457295,1.86962961813708
"TklW",-3.0019067679995,-1.13359240287286,1.86831436512665
"tkl.Def.3rd",-3.23243178291512,-1.37070567002111,1.86172611289401
"aerials.Won.",-0.777771069832592,-2.59574404561154,1.81797297577895
"Fld",1.22687413631948,-0.520864978953083,1.74773911527257
"X90s",-0.711752059157083,1.01295870278791,1.724710761945
"Dist",-0.453848583359015,-2.16961790265979,1.71576931930078
"challenges.Tkl.",-0.823702652037359,-2.33447691568853,1.51077426365117
"Fls",-0.81027290734468,-2.25867609696154,1.44840318961686
"blocks.Sh",-3.16139497213753,-1.82264736535975,1.33874760677778
"sca.PassDead",0.363097719360565,1.61084489446954,1.24774717510898
"GCA",2.52750246706091,1.28339241565933,1.24411005140158
"ck.Out",0.259529582780864,1.44793777327941,1.18840819049855
"touches.Att.3rd",2.95559871733145,1.77818794261592,1.17741077471553
"pass.Blocks",1.37276208489426,0.239262446088289,1.13349963880598
"PKatt",1.07934282725808,-0.038580153370581,1.11792298062866
"Clr",-3.14353833539488,-2.02737054264683,1.11616779274805
"A.xAG",0.239506204146884,-0.86810954531842,1.1076157494653
"CK",0.59002856383803,1.67786507890009,1.08783651506206
"Ast",2.11500128713969,1.11155264297022,1.00344864416947
"challenges.Lost",-1.61590998067283,-0.632889569575625,0.983020411097208
"PK",0.95681082817111,0.00449456848841702,0.952316259682693
"MP",-0.000894280288946132,0.836117718102232,0.837011998391179
"Err",-1.4224561165301,-0.645195953823515,0.777260162706583
"ck.In",0.614180805544822,1.38153065903474,0.767349853489916
"gca.Def",-0.043651047480318,-0.806051526998981,0.762400479518663
"xAG",2.53417237554851,1.87149898685162,0.662673388696891
"tkl.Att.3rd",0.421214644367099,-0.225798623233647,0.647013267600745
"Blocks",-2.29974901190606,-1.67335771793854,0.626391293967518
"gca.PassDead",0.469310155087784,1.06556457772496,0.596254422637173
"OG",-0.445788077594565,-1.03109771311408,0.585309635519515
"pass.Off",-0.135989003727359,0.441239319427357,0.577228323154717
"np.G.xG",0.313696846758498,-0.237029787399117,0.550726634157615
"sca.Def",-0.238010024717006,-0.779306359828788,0.541296335111782
"TB",0.686411244941673,1.21698691374571,0.530575668804039
"CrsPA",1.05559695215317,0.52522482059579,0.530372131557384
"gca.PassLive",1.72389256492568,1.21674108674445,0.507151478181231
"PKcon",-0.794450659225448,-1.28256004233645,0.488109383111001
"CrdR",-0.355469659673783,-0.835401925504214,0.47993226583043
"G.xG",0.303211638806644,-0.175083221940253,0.478294860746896
"X2CrdY",-0.228153325526802,-0.70248318572085,0.474329860194049
"sca.PassLive",1.68942413042919,2.10495106991396,0.415526939484771
"CrdY",-1.39378372045473,-1.71840964988451,0.324625929429778
"Starts",-0.500323411171619,-0.235146909618197,0.265176501553422
"KP",1.98239647100095,2.21149875987892,0.22910228887797
"TI",-0.503989955462197,-0.328062933443878,0.175927022018319
"blocks.Pass",-1.16166935156766,-1.33034120183348,0.168671850265821
"pass.PPA",1.81531751276988,1.97348427368573,0.158166760915847
"Crs",1.25541355700357,1.41131229318518,0.155898736181613
"SCA",2.39767593801783,2.25575644353021,0.141919494487622
"xA",2.16930358557413,2.11158140528798,0.0577221802861501
"ck.Str",0.0224392028304087,0.075698705827576,0.0532595029971672
