"","Comp.1","Comp.2","diff_"
"Rec",2.95636752745455,0.638019080248614,2.31834844720594
"carries.TotDist",2.80173018175087,0.579692138873337,2.22203804287753
"G.Sh",-2.75841206336751,-0.568101218189572,2.19031084517794
"carries.PrgDist",2.74267982341778,0.571546037121853,2.17113378629593
"challenges.Lost",0.692489378428629,-1.47205580749065,2.16454518591928
"PKwon",-1.7020142664298,0.382486030363416,2.08450029679321
"Crs",2.21633538956466,0.138290030839088,2.07804535872557
"FK",2.04768618917456,-0.0239290995750468,2.07161528874961
"TI",0.667925132151238,-1.35755615570106,2.0254812878523
"A.xAG",-1.63070312436481,0.371290283090903,2.00199340745572
"gca.Fld",-1.37598797381478,0.598312584761815,1.97430055857659
"np.G.xG",-1.1922068048773,0.751027902877106,1.9432347077544
"sca.Fld",-1.34217716602701,0.555307438379494,1.89748460440651
"G.xG",-1.09501764084827,0.757871098822154,1.85288873967042
"Fls",-3.07007022700051,-1.22269833917051,1.84737188782999
"blocks.Pass",0.469264506483067,-1.32475045954736,1.79401496603043
"Blocks",0.313720933422329,-1.47394112120632,1.78766205462865
"carries.Dis",-1.32073035958281,0.42471293372731,1.74544329331012
"OG",-1.98896731734377,-0.276972855998641,1.71199446134513
"carries.CPA",-0.120022544614537,1.48145212151968,1.60147466613421
"sca.TO",-0.360147203554995,1.21478021935526,1.57492742291025
"CrsPA",1.29540141253805,-0.271123081515984,1.56652449405403
"npxG.Sh",-3.13129043340257,-1.58603011249373,1.54526032090884
"G.SoT",-2.39445262104355,-0.892969388439129,1.50148323260442
"pass.PPA",2.54288953122896,1.07483669594249,1.46805283528647
"GCA",0.474330731017594,1.92627675041043,1.45194601939283
"CrdR",-1.45759169826612,-0.00774729305127578,1.44984440521484
"CK",1.98102786125285,0.560807841986044,1.4202200192668
"gca.Def",-1.52390612970102,-0.114541785442695,1.40936434425832
"sca.PassDead",1.82939001997971,0.518658075555443,1.31073194442427
"PKcon",-1.62854478458698,-0.350672531718704,1.27787225286827
"pass.Blocks",1.26765644993969,-0.00895095565559595,1.27660740559528
"X2CrdY",-1.10182234698006,0.160701494185991,1.26252384116605
"Dist",-1.02564642489233,-2.26938205820807,1.24373563331574
"ck.Out",1.51423636304436,0.332603138827705,1.18163322421665
"ck.In",1.57944624510022,0.458243865026333,1.12120238007389
"touches.Att.3rd",2.38947517811154,1.31484564945168,1.07462952865986
"challenges.Tkl.",-1.06932690691027,-2.06415309582778,0.994826188917506
"CrdY",-1.88476529117824,-0.930642568735831,0.95412272244241
"PrgR",0.495155064997489,1.43275839961174,0.93760333461425
"sca.PassLive",2.22927478358897,1.31630869568729,0.912966087901679
"Ast",0.561758508377711,1.46036341728348,0.898604908905767
"gca.PassLive",0.59927654140522,1.49445988248748,0.895183341082257
"KP",2.24353764722458,1.37269367752721,0.870843969697368
"SoT.",-2.44837155041298,-1.65295191096383,0.795419639449148
"pass.short.Cmp.",-1.55610566033947,-2.3503508160811,0.79424515574163
"SCA",2.40815799416544,1.61432785712333,0.793830137042111
"PrgC",1.70629496941076,0.913688787677754,0.792606181733004
"carries.PrgC",1.70629496941076,0.913688787677754,0.792606181733004
"Fld",-0.964517803205806,-0.192780673754661,0.771737129451146
