"","Comp.1","Comp.2"
"Dist",0.693169658682627,-1.50191909661925
"take.ons.Tkld.",0.673130040284827,-1.41341947895358
"Gls",0.544426588710214,-0.482394961368153
"gca.PassDead",0.504660625656624,-0.0114316477039385
"G.PK",0.496469344852931,-0.469953274831094
"Fls",0.342245432599449,-1.44110821709877
"pass.short.Att",0.310752554237057,2.20584228331239
"TB",0.167527887372032,0.664514725634453
"gca.Fld",0.163017549249241,-0.574102806482947
"sca.Def",0.0227272270964096,-0.590006744272271
"pass.short.Cmp",0.00341438509059034,2.22146817563096
"PKwon",-0.102472788656518,-0.571770989374072
"SoT.",-0.163896429492764,-1.330139565567
"tkl.Def.3rd",-0.184120640616772,-1.02569246066804
"Tkl.Int",-0.195197211338054,-0.895117615660122
"pass.Off",-0.271218454183723,0.0225892556991853
"PK",-0.274415068087191,-0.745618667512351
"PKatt",-0.383384318531411,-0.688035029825544
"PrgP",-0.423646433514473,2.14036009078936
"pass.short.Cmp.",-0.43830311733749,-1.8207734945818
"gca.Sh",-0.506807781730758,-0.659854879061231
"ck.Str",-0.511465451269736,-0.173637107326705
"gca.Def",-0.629295777630499,-0.56058609233178
"npxG.Sh",-0.704398021107836,-1.52952933641225
"MP",-0.713502919832153,0.757985121215898
"pass.Cmp.",-0.761110206065157,-1.77433971677727
"G.SoT",-0.782495512935563,-0.874354685602836
"G.Sh",-0.788852586900861,-1.17713750061297
"challenges.Tkl.",-0.793618414548866,-1.86977648508884
"Recov",-0.884889307595493,0.524826188368126
"pass.med.Cmp.",-0.917125466602445,-1.8397566455992
"G.xG",-0.960647363198509,-0.63835469434954
"np.G.xG",-0.980730832916878,-0.630081518034973
"CrdY",-1.05112266520411,-1.44619243402746
"A.xAG",-1.11612523164672,-0.744493352662702
"take.ons.Succ.",-1.20409013107182,-1.4063155395293
"X2CrdY",-1.23904625073751,-0.923325324840031
"Blocks",-1.28857165038734,-1.33020048368418
"pass.long.Cmp.",-1.29906289365312,-1.54807883976588
"carries.TotDist",-1.30028470509736,1.93819394742621
"CrdR",-1.31295052875458,-1.01791697289555
"aerials.Won.",-1.4086816952503,-1.86344823147669
"Starts",-1.4793990486872,-0.57850729574934
"OG",-1.61859579863394,-0.739003045592326
"PKcon",-1.63259225334506,-1.15991654177261
"carries.PrgDist",-1.64417436284908,1.93911606924857
"X90s",-1.74417339706888,0.655609031305265
"Touches",-2.01046833531157,2.53584848523698
"touches.Live",-2.01086646142319,2.53565010260888
"Err",-2.03810558771468,-0.513870685258139
"Sw",-2.1956812666006,0.483742942743461
"pass.Att",-2.25354147708885,2.59619891041363
"Carries",-2.2578256615922,2.26292638175088
"Int",-2.29987071306039,-1.22596068022406
"Rec",-2.31404143013521,2.46733354624275
"touches.Mid.3rd",-2.3969643063355,2.2216787428754
"aerials.Lost",-2.48953191955921,-1.66729517394469
"pass.Cmp",-2.89459942834843,2.3575430775772
"pass.long.Att",-2.90177121887198,0.563910332190954
"FK",-3.22183687247993,0.486814550901438
"pass.Live",-3.26274202958199,2.21431009955524
"pass.long.Cmp",-3.83327624864654,0.825488323390385
"pass.TotDist",-3.96083560948015,1.91389084719931
"aerials.Won",-4.02217487531666,-1.33480427677222
"pass.PrgDist",-4.13262332589495,1.54470174237015
"pass.med.Att",-4.15645811724152,1.63154768353743
"blocks.Sh",-4.28289249446935,-1.58886859973543
"pass.med.Cmp",-4.4537561824678,1.42688701414347
"Clr",-4.62859199961052,-1.91485241149495
"touches.Def.Pen",-5.25960611108694,-1.03886796705402
"touches.Def.3rd",-5.33229504452425,-0.191305573838862
