Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
603,Will Richmond,us USA,"MF,FW",San Jose,21,2000,0.5,4,8,2,0,2,0,0,0,0,0,0,0,0,0,0,0,Matches
604,Tosaint Ricketts,ca CAN,"FW,DF",Vancouver,34,1987,5,13,2.6,8,0,1,1,2,1,2,0.4,1,0,0,0,1,0,Matches
605,Emiliano Rigoni,ar ARG,FW,Austin,28,1993,3.1,12,3.82,7,3,1,0,1,0,0,0,0,0,0,0,0,0,Matches
606,Alexander Ring,fi FIN,MF,Austin,30,1991,30.9,84,2.72,70,3,2,5,2,2,14,0.45,13,0,0,1,0,0,Matches
607,Rocco Ríos Novo,ar ARG,GK,Atlanta Utd,19,2002,15.5,1,0.06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
608,Damien Rivera,us USA,"FW,MF",New England,19,2002,4.6,9,1.95,6,0,0,2,1,0,0,0,0,0,0,0,0,0,Matches
609,Nigel Robertha,nl NED,"FW,MF",D.C. United,23,1998,7.9,32,4.02,26,0,3,1,1,1,4,0.5,3,0,0,0,0,1,Matches
610,Miles Robinson,us USA,DF,Atlanta Utd,24,1997,7.3,1,0.14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
611,Robbie Robinson,us USA,"FW,MF",Inter Miami,23,1998,5.4,19,3.52,14,1,1,1,2,0,1,0.19,1,0,0,0,0,0,Matches
612,Harrison Robledo,us USA,"MF,DF",FC Cincinnati,19,2002,0.5,2,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Matches
613,Rodrigues,br BRA,DF,San Jose,24,1997,6.9,2,0.29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
614,Abraham Rodriguez,us USA,GK,Colorado Rapids,19,2002,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
615,Brian Rodríguez,uy URU,FW,Los Angeles FC,21,2000,9.1,30,3.3,23,0,4,2,1,0,5,0.55,4,0,1,0,0,0,Matches
616,Emerson Rodríguez,co COL,"FW,MF",Inter Miami,21,2000,5.9,20,3.41,14,0,1,3,2,0,1,0.17,0,0,0,1,0,0,Matches
617,Martín Rodríguez,cl CHI,"FW,MF",D.C. United,27,1994,10,36,3.59,19,12,1,0,2,2,4,0.4,3,1,0,0,0,0,Matches
618,Memo Rodriguez,us USA,"MF,FW",Dynamo FC,26,1995,16.7,63,3.78,38,8,4,4,6,3,5,0.3,4,0,0,1,0,0,Matches
619,Santiago Rodríguez,uy URU,"MF,FW",NYCFC,22,2000,27.3,131,4.79,87,20,9,9,4,2,16,0.59,11,3,1,1,0,0,Matches
